frame_id,track_id,x,y,w,h,time
3,1,26,213,105,326,117
4,1,30,208,110,336,156
5,1,31,201,115,345,195
5,2,717,91,34,112,195
6,1,33,209,112,327,235
6,2,718,91,33,111,235
7,1,42,215,112,314,274
7,2,719,90,34,112,274
8,1,49,217,110,308,313
8,2,719,89,35,115,313
9,1,50,220,111,296,352
9,2,720,90,34,114,352
10,1,47,190,123,317,391
10,2,720,91,34,113,391
11,1,47,179,129,324,431
11,2,719,91,35,113,431
12,1,44,169,137,336,470
12,2,719,91,35,114,470
13,1,45,166,139,337,509
13,2,720,92,34,111,509
14,1,49,177,135,319,548
14,2,720,94,34,107,548
15,1,55,203,134,311,587
15,2,720,95,34,105,587
16,1,60,212,133,306,627
16,2,726,90,35,107,627
17,1,61,201,132,301,666
17,2,728,89,36,107,666
18,1,60,186,138,313,705
18,2,729,88,36,107,705
19,1,68,167,149,343,744
19,2,729,88,36,106,744
20,1,77,168,146,339,783
20,2,724,97,36,101,783
21,1,84,174,142,331,823
21,2,723,102,35,97,823
22,1,91,179,139,324,862
22,2,722,103,35,95,862
23,1,96,175,140,325,901
23,2,722,101,35,97,901
24,1,102,181,138,316,940
24,2,721,98,37,99,940
25,1,107,180,137,315,979
25,2,721,97,38,99,979
26,1,137,222,128,283,1019
26,2,721,97,38,98,1019
27,1,143,228,128,278,1058
27,2,721,97,38,98,1058
28,1,145,232,127,273,1097
28,2,721,95,39,100,1097
29,1,142,210,133,286,1136
29,2,720,93,40,102,1136
30,1,147,222,131,279,1175
30,2,720,92,41,104,1175
31,1,145,210,132,279,1215
31,2,720,91,42,105,1215
32,1,144,202,135,283,1254
32,2,720,90,42,107,1254
33,1,146,204,133,277,1293
33,2,720,91,41,106,1293
34,1,149,207,132,274,1332
34,2,720,93,40,104,1332
35,1,151,206,132,274,1371
35,2,720,92,41,104,1371
36,1,154,201,135,281,1410
36,2,719,90,42,106,1410
37,1,164,201,130,280,1450
37,2,721,86,40,101,1450
38,1,177,203,126,276,1489
38,2,721,85,39,100,1489
39,1,186,205,120,266,1528
39,2,721,84,40,99,1528
40,1,194,207,116,261,1567
