frame_id,track_id,x,y,w,h,time
3,1,724,283,61,186,66
3,2,794,242,47,168,66
3,3,1390,315,88,170,66
3,4,846,205,30,93,66
3,5,891,215,26,81,66
3,6,925,210,27,86,66
3,7,960,207,26,88,66
3,8,999,213,24,77,66
3,9,1089,393,101,240,66
3,10,666,265,57,162,66
3,11,118,442,115,251,66
4,1,722,282,62,187,100
4,2,794,240,48,171,100
4,3,1390,316,87,168,100
4,4,846,205,30,94,100
4,5,891,215,26,81,100
4,6,925,210,27,87,100
4,7,960,207,26,88,100
4,8,998,212,24,79,100
4,9,1091,394,102,243,100
4,10,665,266,57,163,100
4,11,117,437,117,258,100
5,1,721,283,62,189,133
5,2,794,239,49,173,133
5,3,1391,319,84,164,133
5,4,845,206,30,94,133
5,5,891,215,26,81,133
5,6,926,210,27,87,133
5,7,960,208,25,87,133
5,8,998,214,24,77,133
5,9,1105,417,86,202,133
5,10,664,269,55,159,133
5,11,120,435,117,260,133
6,1,718,283,64,192,166
6,2,795,240,48,172,166
6,3,1390,321,82,161,166
6,4,846,206,29,94,166
6,5,891,216,26,80,166
6,6,926,210,26,87,166
6,7,959,209,26,87,166
6,8,998,214,23,77,166
6,9,1112,426,81,193,166
6,10,663,269,56,160,166
6,11,122,431,118,264,166
7,1,718,287,62,187,200
7,2,795,240,46,170,200
7,3,1388,322,81,160,200
7,4,847,205,29,95,200
7,5,892,216,25,80,200
7,6,925,210,27,87,200
7,7,958,207,25,90,200
7,8,997,214,24,77,200
7,9,1116,425,81,194,200
7,10,663,267,57,164,200
7,11,124,429,118,265,200
7,12,727,260,37,68,200
8,1,716,290,62,186,233
8,2,795,241,46,168,233
8,3,1385,320,81,162,233
8,4,847,206,29,95,233
8,5,892,217,25,79,233
8,6,924,211,27,86,233
8,7,957,207,26,90,233
8,8,997,214,24,76,233
8,9,1121,426,79,189,233
8,10,662,267,57,163,233
8,11,127,428,117,266,233
8,12,728,261,36,66,233
9,1,715,291,62,187,266
9,2,795,243,45,165,266
9,3,1379,316,83,169,266
9,4,847,206,29,94,266
9,5,892,218,25,78,266
9,6,924,211,26,86,266
9,7,957,207,26,91,266
9,8,997,214,24,76,266
9,9,1121,398,96,231,266
9,10,662,267,55,162,266
9,11,134,429,113,259,266
9,12,728,262,35,64,266
10,1,713,289,64,192,300
10,2,795,243,44,165,300
10,3,1377,316,82,170,300
10,4,847,207,29,93,300
10,5,893,218,24,78,300
10,6,925,212,26,85,300
10,7,957,207,26,91,300
10,8,997,213,24,76,300
10,9,1124,388,102,248,300
10,10,661,268,54,157,300
10,11,140,431,111,255,300
10,12,728,262,34,62,300
11,1,711,287,66,196,333
